Surface Water,,Nankhunda Community Dev. Association,Zomba,,,,"C/o Evans H. Chaputula, Benito, Area 23, P/Bag 390, Lilongwe 3",Chisamba,Mlumbe,Zomba,744343,8300774,SL95/2023,5,10/8/2028,11/8/2023,NWRA,364,Lisanjala,Rural Domestic,,,,,,,,,,,,
Surface Water,,Pabe Construction Contractors,Machinga,,,,"P.O. Box 2781, Blantyre",Mwepeta,Ngokwe,Machinga,703446,8374829,SL96/2023,5,10/8/2028,11/8/2023,NWRA,10,Lifune,Construction of irrigation scheme,,,,,,,,,,,,
Surface Water,,H.C Scodis Farm,Mangochi,,,,"P.O. Box 33, Namwera",Malekano,Jalasi,Mangochi,764528,8404826,SL 720/1976,5,10/8/2028,11/8/2023,NWRA,200,Lusakwidzi river,Irrigation,,,,,,,,,,,,
Surface Water,,H.C Scodis Farm,Mangochi,,,,"P.O. Box 33, Namwera",Malekano,Jalasi,Mangochi,764239,8402373,SL 721/1976,5,10/8/2028,11/8/2023,NWRA,200,Pombwe river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1624,China Henan International Cooperation Group,Rumphi,,,,,Lusimbo,Mwankhunikila,Rumphi,634863,8813235,SL73/2023,5,27/4/2028,28/4/2023,NWRA,10,South Rukuru river,Road construction,,,,,,,,,,,,
Surface Water,NWRA/1624,China Henan International Cooperation Group,Rumphi,,,,,Luviri,Mzikubola,Rumphi,592850,8780203,SL74/2023,5,27/4/2028,28/4/2023,NWRA,10,Kasitu river,Road construction,,,,,,,,,,,,
Surface Water,NWRA/1624,China Henan International Cooperation Group,Rumphi,,,,,Lusimbo,Mwankhunikila,Rumphi,605628,8789380,SL75/2023,5,27/4/2028,28/4/2023,NWRA,10,Luzi river,Road construction,,,,,,,,,,,,
Surface Water,NWRA/1625,Sukambizi Association Trust,Mulanje,,,,P.O. Box 133 Mulanje,Safari,Njema,Mulanje,790164,8225774,SL76/2023,5,27/4/2028,28/4/2023,NWRA,2260,Muluzi river,"Irrigation, Rural domestic",,,,,,,,,,,,
Surface Water,NWRA/1626,Mwayi Wathu Irrigation Scheme,Thyolo,,,,Primary School P/Bag 9 Bvumbwe Thyolo,Chinkwende,Bvumbe,Thyolo,718600,8234600,SL82/2023,5,27/4/2028,28/4/2023,NWRA,79.2,Chipanje river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1627,Nature’s Gift Ltd,Lilongwe,,,,P.O. Box 30420 Lilongwe,Area 49,Tsabango,Lilongwe,592410,8458687,SL83/2023,5,27/4/2028,28/4/2023,NWRA,"500,000",Lilongwe river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1627A,Kumbali Lake Retreat Lodge,Salima,,,,P.O. Box 30420 Salima,Chiutira,BibiKuulunda,Salima,672005,8488663,SL84/2023,5,27/4/2028,28/4/2023,NWRA,5,Lake Malawi,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1628,Melinda’s Water Edge,Salima,,,,P.O. Box 2173 Lilongwe,Maganga,Chilokota,Salima,674509,8475466,SL85/2023,5,27/4/2028,28/4/2023,NWRA,5,Lake Malawi,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1629,Jiangxi Construction Engineering (Group)Corporation,Karonga,,,,P.O. Box 20137 Lilongwe ,Mwandenga,Mwakaboko,Karonga,585190,8939838,SL86/2023,5,27/4/2028,28/4/2023,NWRA,6,Songwe river,Industrial (Construction of border buildings),,,,,,,,,,,,
Surface Water,NWRA/1629,Jiangxi Construction Engineering (Group)Corporation,Blantyre,,,,P.O. Box 20137 Lilongwe ,Lunzu Trading Centre,Kapeni,Blantyre,716189,8269198,SL94/2023 ,5,7/6/2028,8/6/2023,NWRA,25,Lunzu river,Construction,,,,,,,,,,,,
Surface Water,NWRA/1639,Larsen and Tourbro Limited ,Mwanza,,,,,Biriwiri,Nthache,Mwanza,662361,8270019,SL91/2023 ,5,7/6/2028,8/6/2023,NWRA,15,Mwaza river,Construction of powerline towers,,,,,,,,,,,,
Surface Water,NWRA/1639,Larsen and Tourbro Limited ,Neno,,,,,Liyenda,Symon,Neno,686909,8279013,SL92/2023 ,5,7/6/2028,8/6/2023,NWRA,15,Lisungwi river,Construction of powerline towers,,,,,,,,,,,,
Surface Water,NWRA/1639,Larsen and Tourbro Limited ,Balaka,,,,,Phombeya,Phalula,Balaka,697408,8317370,SL93/2023 ,5,7/6/2028,8/6/2023,NWRA,15,Lisungwi river,Construction of powerline towers,,,,,,,,,,,,
Surface Water,NWRA/1642,Cas-Maoni Joint Venture,Mangochi,,,,"P.O. Box 1571, Blantyre",Chilombo,Nankhumba,Mangochi,708713,8437743,SL90/2023 ,5,7/6/2028,8/6/2023,NWRA,76,Lake Malawi,Construction ,,,,,,,,,,,,
Surface Water,NWRA/1652,VSG JV,Chitipa,,,,"P.O. Box 32148, Chichiri, Blantyre",Masyesye,Mwaulambya,Chitipa,526602,8932939,SL97/2023,5,10/8/2028,11/8/2023,NWRA,100,Mukono Stream ,Road construction,,,,,,,,,,,,
Surface Water,NWRA/1652,VSG JV,Chitipa,,,,"P.O. Box 32148, Chichiri, Blantyre",Masyesye,Mwaulambya,Chitipa,527980,8937116,SL98/2023,5,10/8/2028,11/8/2023,NWRA,100,Ngoya Stream ,Road construction,,,,,,,,,,,,
Surface Water,NWRA/1653,M.A. Kharafi and Sons,Ntcheu,,,,"P.O. Box 30492, Lilongwe",Tsangano,Kwataine,Ntcheu,676261,8360495,SL99/2023,5,10/8/2028,11/8/2023,NWRA,250,Ntcheu river,Road construction,,,,,,,,,,,,
Surface Water,NWRA/1653,M.A. Kharafi and Sons,Ntcheu,,,,"P.O. Box 30492, Lilongwe",Tsangano,Kwataine,Ntcheu,674248,8364903,SL100/2023,5,10/8/2028,11/8/2023,NWRA,250,Dombole river,Road construction,,,,,,,,,,,,
Surface Water,NWRA/1653,M.A. Kharafi and Sons,Ntcheu,,,,"P.O. Box 30492, Lilongwe",Kampepuza,Kwataine,Ntcheu,686131,8355673,SL101/2023,5,10/8/2028,11/8/2023,NWRA,250,Namwenda river,Road construction,,,,,,,,,,,,
Surface Water,NWRA/1662,Sico Civils Limited,Balaka,,,,"P.O. Box 3206, Lilongwe",Ntaja,Chakaza,Balaka,722995,8307700,SL102/2023,5,22/11/2028,23/11/2023,NWRA,7,Shire river,Construction of Irrigation scheme,,,,,,,,,,,,
Surface Water,NWRA/1663,Projex Group Ltd,Lilongwe,,,,,ARea 49,Chimutu,Lilongwe,580810,8457809,SL103/2023,5,22/11/2028,23/11/2023,NWRA,10,Lingadzi river,Road Construction,,,,,,,,,,,,
Surface Water,NWRA/1664,China Jiangxi International Economic and Technical Cooperation ,Dowa,,,,"P.O Box 1830, llilongwe",Kawere,Mponela,Dowa,576352,8507470,SL104/2023,5,22/11/2028,23/11/2023,NWRA,200,Kasangadzi river,"Road Construction, Irrigation",,,,,,,,,,,,
Surface Water,NWRA/1665,,,,,,,,,,,,,5,22/11/2028,23/11/2023,NWRA,,,,,,,,,,,,,,,
Surface Water,NWRA/1666,Viphya Chambo,Mzimba,,,,,Dumisani,Kampingo,Mzimba,603903,8730015,SL105/2023,5,22/11/2028,23/11/2023,NWRA,23,Lusangadzi river,Banana plantation ,,,,,,,,,,,,
Surface Water,NWRA/1667,Kalizinje Irrigation Scheme,Zomba,,,,"Guta Primary School,P.O Box 21, Chingale",Kalizinje,Nkapita,Zomba,726272,8308505,SL106/2023,5,22/11/2028,23/11/2023,NWRA,"1,722",Shire river,"Fisheries, irrigation",,,,,,,,,,,,
Surface Water,NWRA/1668,Kaziotche Irrigation Scheme,Zomba,,,,"C/o Guta Primary School, P.O. Box 21, Chingale , Zomba",Nzazira,Nkapita,Zomba,726549,8308479,SL107/2023,5,22/11/2028,23/11/2023,NWRA,840,Shire river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1669,Ntaka Irrigation Scheme,Zomba,,,,"C/o Ntaka LEA School P.O Box 40, Chingale",Ntaka,Nkapita,Zomba,728687,8312012,SL108/2023,5,22/11/2028,23/11/2023,NWRA,550.9,Shire river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1670,Nkumba Irrigation Scheme ,Zomba,,,,"C/o Chimbiya LEA School P.O Box 40, Chingale",Nkumba,Nkapita,Zomba,728687,8312012,SL109/2023,5,22/11/2028,23/11/2023,NWRA,406,Shire river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1671,Galileya Irrigation Scheme,Zomba,,,,"C/o M’balamanja Secondary School P.O Box 10, Chingale",Gwaza,Nkapita,Zomba,720595,8304372,SL110/2023,5,22/11/2028,23/11/2023,NWRA,2499.7,Shire river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1672,Nchisa Irrigation Scheme,Zomba,,,,"C/o Chimbiya LEA School P.O Box 40, ChingaleP.O Box 40, Chingale",Nchisa Jeke,Nkapita,Zomba,729389,8313033,SL111/2023,5,22/11/2028,23/11/2023,NWRA,329,Shire river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1673,Ngolonjere Irrigation Scheme,Mangochi,,,,,Ngolonjere,Katuli,Mangochi,764916,8429369,SL112/2023,5,22/11/2028,23/11/2023,NWRA,98,Shire river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1674,Luwelele Irrigation Scheme,Mangochi,,,,,Mloza,Katuli,Mangochi,760202,8436353,SL113/2023,5,22/11/2028,23/11/2023,NWRA,182,Luwelele,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1675,Tigwirizane Irrigation Scheme,Mangochi,,,,,Ntuluko,Jalasi,Mangochi,763426,8417025,SL114/2023,5,22/11/2028,23/11/2023,NWRA,154,Luchimwa,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1676,Masiwila Irrigation Scheme,Mangochi,,,,,Tambala,Bwananyambi,Mangochi,777375,8397669,SL115/2023,5,22/11/2028,23/11/2023,NWRA,77,Koche,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1677,Mgwirizano Irrigation ,Mangochi,,,,,Mtundu,Bwananyambi,Mangochi,796346,8386081,SL116/2023,5,22/11/2028,23/11/2023,NWRA,315,Nyenyezi,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1678,Nyenyezi Irrigation Scheme,Mangochi,,,,,Biton,Bwananyambi,Mangochi,793143,8385562,SL117/2023,5,22/11/2028,23/11/2023,NWRA,420,Nyenyezi,Irrigation,,,,,,,,,,,,
Surface Water,,Vizuzu Ex-Servicemen Fish Farming Corporative,Mzimba,,,,"P.O. Box 881, Mzuzu",Chimaliro,Mtwalo,Mzimba,613063,8733488,SL118/2023,5,22/11/2028,23/11/2023,NWRA,20000,Lunyangwa,Fisheries services,,,,,,,,,,,,
Surface Water,,Africa Invest Limited,Mchinji,,,,,Tsekwe,Dambe,Mchinji,512961,8512850,SL119/2023,5,22/11/2028,23/11/2023,NWRA,140,Rusa ,Irrigation,,,,,,,,,,,,
Surface Water,,UNIK Construction Engineering (LTD),Mzimba,,,,,Jenda Theu,Mzikubola,Mzimba,561520,8636218,SL120/2023,5,22/11/2028,23/11/2023,NWRA,100,Kamalambo Dam,Road construction,,,,,,,,,,,,
Surface Water,,Mayoka Village Beach Lodge,Nkhatabay,,,,,Liwomba,Mankhambira,Nkhatabay,642159,8716065,SL121/2023,5,22/11/2028,23/11/2023,NWRA,5,Lake Malawi,irrigation,,,,,,,,,,,,
Surface Water,,UNIK Construction Engineering (LTD),Mzimba,,,,,Lameck,Mzikubola,Mzimba,565880,8639323,SL 122/2023,5,22/11/2028,23/11/2023,NWRA,100,Chipata river,Road construction,,,,,,,,,,,,
Surface Water,,UNIK Construction Engineering (LTD),Mzimba,,,,,Mukhwapu,Mzikubola,Mzimba,568981,8642816,SL123/2023,5,22/11/2028,23/11/2023,NWRA,100,Kavuwo river,Road construction,,,,,,,,,,,,
Surface Water,NWRA/1707,China State Construction Engineering Corporation (LTD),,,,Mzimba,"P.O. Box 66, Lilongwe",Luwinga,Mtwalo,Mzimba,609931,8736182,SL124/2023,,22/11/2028,23/11/2023,,6,Lunyangwa,Road Construction,,,,,,,,,,,,
Surface Water,NWRA/1708,Param Agro Farms (Malavi) LTD,,,,Dedza,"P.O Box 1192, Lilongwe",Chikombe,Kachindamoto,Dedza,667668,8439163,SL125/2023,,22/11/2028,23/11/2023,,50,Lake Malawi,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1709,Inyatsi-He Jackson Jv,,,,Nkhatabay,"P.O Box 1218, Lilongwe",Mzenga,Kabunduli,Nkhatabay,617818,8701895,SL126/2023,,22/11/2028,23/11/2023,,100,Luweya river,Road Construction,,,,,,,,,,,,
Surface Water,NWRA/1709,Salima Cottage,,,,Salima,"Reserve C/O Bank of Malawi,P.O Box 30063, Lilongwe",Kachelenje,Maganga,Salima,672610,8472947,SL127/2023,,22/11/2028,23/11/2023,,5,Lake Malawi,Lawn watering,,,,,,,,,,,,
Surface Water,NWRA/1709,Mangochi Management Cottage,,,,Mangochi,"Reserve C/O Bank of Malawi,P.O Box 30063, Lilongwe",Mtayanthungo,Nankhumba,Mangochi,712682,8432664,SL128/2023,,22/11/2028,23/11/2023,,5,Lake Malawi,Lawn watering,,,,,,,,,,,,
Surface Water,NWRA/1709,Mangochi Staff Cottage,,,,Mangochi,"Reserve C/O Bank of Malawi,P.O Box 30063, Lilongwe",Masanje,Nankhumba,Mangochi,725168,8422201,SL129/2023,,22/11/2028,23/11/2023,,5,Lake Malawi,Lawn watering,,,,,,,,,,,,
Surface Water,NWRA/1709A,H.E.  Jackson Engineering Ltd,,,,Mchinji,"P.O. Box 1218, Lilongwe",Lipunga,Mkanda,Mchinji,478071,8498972,SL152/2023,,7/3/2029,8/3/2024,,15,Luwerezi,Construction,,,,,,,,,,,,
Surface Water,NWRA/1709A,H.E.  Jackson Engineering Ltd,,,,Mchinji,"P.O. Box 1218, Lilongwe",Fanuel ,Pitala,Mchinji,503735,8507365,SL153/2023,,7/3/2029,8/3/2024,,15,Onsite borrow pit,Construction,,,,,,,,,,,,
Surface Water,NWRA/1709A,H.E.  Jackson Engineering Ltd,,,,Mchinji,"P.O. Box 1218, Lilongwe",Ntunga,Mbuwa,Mchinji,529426,8484373,SL154/2023,,7/3/2029,8/3/2024,,15,Bua river,Construction,,,,,,,,,,,,
Surface Water,NWRA/1709A,H.E.  Jackson Engineering Ltd,,,,Mchinji,"P.O. Box 1218, Lilongwe",Mtukwa,,Mchinji,507655,8454194,SL155/2023,,7/3/2029,8/3/2024,,15,Mtukwa Dam,Construction,,,,,,,,,,,,
Surface Water,NWRA/1709A,H.E.  Jackson Engineering Ltd,,,,Dowa,"P.O. Box 1218, Lilongwe",Seche,,Dowa,594620,8482429,SL156/2023,,7/3/2029,8/3/2024,,15,Nkhondodwe river,Construction,,,,,,,,,,,,
Surface Water,NWRA/1709A,H.E.  Jackson Engineering Ltd,,,,Dowa,"P.O. Box 1218, Lilongwe",Dondwe,Msakambewa,Dowa,601440,8507748,SL157/2023,,7/3/2029,8/3/2024,,15,Chiluwa river,Construction,,,,,,,,,,,,
Surface Water,NWRA/1710,Kaphidyani Village,,,,Dowa,"C/o Pyxus Agriculture Limited, P.O. Box 30522, Lilongwe",Kaphidyani,Dzoole,Dowa,551236,8530600,SL130/2023,,22/11/2028,23/11/2023,,72,Khathwe river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1711,Mzuzu Institute of Technology and Innovation (MZITI),,,,Nkhatabay,"P.O Box 676, Mzuzu",Lwafwa,Kabunduli,Nkhatabay,605417,8720083,SL132/2023,,22/11/2028,23/11/2023,,60.48,Lwafwa river,Power generation 72kv,,,,,,,,,,,,
Surface Water,NWRA/1712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1723,Mkawinda Irrigation Scheme,,,,Blantyre,"C/o Bakasala Primary School, Box 12, Blantyre",Chiwaya,Chigaru,Blantyre,711617,8301608,SL135/2023,,7/3/2029,8/3/2024,,7776,Shire river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1724,Mazame Irrigation Scheme,,,,Dedza,"C/o Nankhande Primary School, Box 145, Dedza",Chenjero,Kachindamoto,Dedza,684032,8420614,SL136/2023,,7/3/2029,8/3/2024,,14400,Lake Malawi,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1726,M’Mango Water User Association ,,,,Zomba,"P.O Box 40, Zomba",Chinganga,Makunganya,Zomba,738865,8306081,SL141/2023,,7/3/2029,8/3/2024,,"2,993",Nakatope river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1727,Upilewetu Irrigation Scheme,,,,Zomba,"C/O Samalani LEA School, Box 40, Zomba",Jusu,Mlombe,Zomba,740853,8313355,SL142/2023,,7/3/2029,8/3/2024,,"1,872",Bala stream,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1728,Fufule Irrigation Scheme,,,,Ntcheu,"C/O Tsangano EP, Box 19, Ntcheu",Mafuta,Mpando,Ntcheu,671585,8321984,SL143/2023,,7/3/2029,8/3/2024,,"21,600",Fufule river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1729,Chitseka Irrigation Scheme ,,,,Ntcheu,"C/O Tsangano EP, Box 19, Ntcheu",Kankhuni,Mpando,Ntcheu,673648,8327267,SL144/2023,,7/3/2029,8/3/2024,,689,Chitseka river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1730,Mpoya/ Mdere Irrigation Scheme,,,,Machinga,"C/O Chagwa Water Users Association, Box 13 Machinga",Janamu,Nkula,Machinga,744566,8316545,SL145/2023,,7/3/2029,8/3/2024,,"1,118",Chagwa river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1731,Fufule Irrigation Scheme,,,,Ntcheu,"C/O Tsangano EP, Box 19, Ntcheu",Mafuta,Mpando,Ntcheu,671429,8322034,SL146/2023,,7/3/2029,8/3/2024,,"21,600",Fufule river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1732,Thava Irrigation Scheme,,,,Ntcheu,"C/O Tsangano EP, Box 19, Ntcheu",Zinjiliza,Mpando,Ntcheu,679420,8322304,SL147/2023,,7/3/2029,8/3/2024,,"1,066",Thava,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1733,Tsenjerani Water User Association,,,,Neno,"P.O Box 2, Neno",Tsenjerani,Dambe,Neno,670573,8298433,SL148/2023,,7/3/2029,8/3/2024,,286,Mfundamadzi river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1734,Ortusol Limited,,,,Salima,"P.O Box 5133, Limbe",Mwankhundi,Kalonga,Salima,644253,8476100,SL150/2023,,7/3/2029,8/3/2024,,203,Lilongwe river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1735,Rock Link Geological Consultant Limited,,,,Blantyre,"P.O Box 51755, Limbe",Chitete,Kunthembwe,Blantyre,685097,8261194,SL158/2023,,7/3/2029,8/3/2024,,5,Chire river,Geotechnical Drilling,,,,,,,,,,,,
Surface Water,NWRA/1736,Raymond Misomali,,,,Kasungu,"Box 2034, Lilongwe",Chiphwika,Njombwa,Kasungu,535142,8542693,SL159/2023,,7/3/2029,8/3/2024,,5,Bua river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1736A,Bilira Irrigation Scheme,,,,Zomba,"C/O Bilira WUA, Matabi LEA School, Box 40, Zomba",Nkasala,Mlumbe,Zomba,540522,8301415,SL160/2023,,7/3/2029,8/3/2024,,400,Namitembo,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1737,Lotus Africa Limited,,,,Karonga,P.O. Box 47,Kayerekera,Kyungu,Karonga,577755,8892639,SL161/2023,,7/3/2029,8/3/2024,,"10,000",Muswenga river,"Industrial, Rural domestic",,,,,,,,,,,,
Surface Water,NWRA/1738,Hamisi Chipala,,,,Nkhotakota,"P.O. Box 3, Lozi, Nkhotakota",Chimanthula,Mphonde,Nkhotakota,634013,8582687,SL162/2023,,7/3/2029,8/3/2024,,22,Kasangadzi,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/1739,see file number 1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Water,NWRA/1740,Kwisa Muthe Water User Association,,,,Balaka,"P/Bag 37, Balaka",Kachenga,Mponda,Balaka,711107,835642,SL301/2006,,7/3/2029,8/3/2024,,"43,200",Liwawadzi Stream,Irrigation,,,,,,,,,,,,
Surface Water,WRA/416,Mr James Green Njilika,Namalowe Estate,NA,NA,N/A,"Box 10, Namwera",N/A,N/A,N/A,Mangochi,SL19/1982,5,16/3/1997,17/3/1982,NA,NWRA, 15.00 ,Mpwapwata Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/431,Monsanto MW Liited(National seed company of malawi),"Area 29, Kanengo",NA,NA,N/A,"Box 30050, Lilongwe",N/A,N/A,N/A,Lilongwe,SL9/1988,5,11/7/2001,11/7/1996,NA,NWRA, 3.00 ,NA,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,WRA/431,Monsanto MW Liited(National seed company of malawi),"Area 29, Kanengo",NA,NA,N/A,"Box 30050, Lilongwe",N/A,N/A,N/A,Lilongwe,SL8/1984,5,27/02/1985,27/02/1985,NA,NWRA, 3.00 ,NA,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,WRA/431,Monsanto MW Liited(National seed company of malawi),"Area 29, Kanengo",NA,NA,N/A,"Box 30050, Lilongwe",N/A,N/A,N/A,Lilongwe,SL7/1984,5,27/02/1985,27/02/1985,NA,NWRA, 3.00 ,NA,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,WRA/431,Monsanto MW Liited(National seed company of malawi),"Area 29, Kanengo",NA,NA,N/A,"Box 30050, Lilongwe",N/A,N/A,N/A,Lilongwe,SL6/1984,5,27/02/1985,27/02/1985,NA,NWRA, 3.00 ,NA,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,WRA/433,Nali Farm,N/A,NA,NA,N/A,"Box 5767,Limbe",Limbe,NA,N/A,Limbe,SL7/1984,5,26/02/2007,26/02/1997,NA,NWRA, 3.00 ,NA,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/436,Chief Veterinary Officer,Dairy Development Project,NA,NA,N/A,"P/Bag 2096,Lilongwe",Lilongwe,NA,NA,Lilongwe,SL32/1984,5,17/07/2007,17/07/1997,NA,NWRA, 3.00 ,Kaunga Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/436,Chief Veterinary Officer,Dairy Development Project,,NA,N/A,"P/Bag 2096,Lilongwe",Lilongwe,NA,NA,Lilongwe,SL33/1984,5,17/07/2007,17/07/1997,NA,NWRA, 6.00 ,Chipazi,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/436,Chief Veterinary Officer,Dairy Development Project,,NA,N/A,"P/Bag 2096,Lilongwe",Lilongwe,NA,NA,Lilongwe,SL34/1984,5,17/07/2007,17/07/1997,NA,NWRA, 3.00 ,Kaunga Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/436,Chief Veterinary Officer,Dairy Development Project,,NA,N/A,"P/Bag 2096,Lilongwe",Lilongwe,NA,NA,Lilongwe,SL35/1984,5,17/07/2007,17/07/1997,NA,NWRA, 6.00 ,Njobvuroro Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/436,Chief Veterinary Officer,Dairy Development Project,,NA,N/A,"P/Bag 2096,Lilongwe",Lilongwe,NA,NA,Lilongwe,SL41/1984,5,17/07/2007,17/07/1997,NA,NWRA, 2.00 ,Tributary of Lifidzi,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/439,"Chrispin K. Mkandawire, ",Mphwepwe,Crispin Mkandawire,NA,N/A,NA,Mangochi,NA,NA,Mangochi,SL40/1984,5,18/03/1989,19/03/1984,NA,NWRA, 15.00 ,Lake malawi,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/441,Stephen Kwali Nsusa,N/A,NA,NA,N/A,"Box 675,Blantyre",Blantyre,NA,NA,Blantyre,SL24/1985,5,18/03/2000,19/03/1995,NA,NWRA, 24.00 ,shire river,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/443,Kawalazi Tea Estate Limited,N/A,NA,1332934,kecl@satmail.bt.com,Box 237,DGMs,NA,NA,Mzuzu,SL12/1978,5,18/03/2026,19/03/2021,NA,NWRA, 10.00 ,Kawalazi River,Domestic," 10,000.00 ",,N0,NO,,,,,,,,
Surface Water,WRA/443,Kawalazi Tea Estate Limited,N/A,NA,1332934,kecl@satmail.bt.com,Box 237,Kawalazi New Line,NA,NA,Mzuzu,SL505/1978,5,18/03/2026,19/03/2021,NA,NWRA, 50.00 ,Kawalazi River,Domestic," 10,000.00 ",,NO,NO,,,,,,,,
Surface Water,WRA/443,Kawalazi Tea Estate Limited,N/A,NA,1332934,kecl@satmail.bt.com,Box 237,Likungwi Nursary,NA,NA,Mzuzu,SL580/1970,5,18/03/2026,19/03/2021,NA,NWRA, 10.00 ,Kawalazi River,Irrigation & Domestic," 10,000.00 ",,N0,NO,,,,,,,,
Surface Water,WRA/443,Kawalazi Tea Estate Limited,N/A,NA,1332934,kecl@satmail.bt.com,Box 237,Likungwi Weir,NA,NA,Mzuzu,SL2/1986,5,18/03/2026,19/03/2021,NA,NWRA," 15,000.00 ",Kawalazi River,Irrigation," 171,641.25 ",,NO,NO,,,,,,,,
Surface Water,WRA/443,Kawalazi Tea Estate Limited,N/A,NA,1332934,kecl@satmail.bt.com,Box 237,Likungwi Weir,NA,NA,Mzuzu,SL11/1987,5,18/03/2026,19/03/2021,NA,NWRA," 7,000.00 ",Kawalazi River,Irrigation," 80,099.25 ",,N0,NO,,,,,,,,
Surface Water,WRA/443,Kawalazi Tea Estate Limited,N/A,NA,1332934,kecl@satmail.bt.com,Box 237,kawalazi River,NA,NA,Mzuzu,SL905/1978,5,18/03/2026,19/03/2021,NA,NWRA," 15,000.00 ",Kavuzi River,Irrigation," 171,641.25 ",,NO,NO,,,,,,,,
